uniqueid,guess_number,word,guess,condition,trial,time_elapsed,init_entropy,post_entropy,init_w_remaining,post_w_remaining,expected_ent_reduction,random_ent_reduction,max_ent_reduction,min_ent_reduction,quantile_ent_reduction,quantile_ent_reduction_h,quantile_ent_reduction_l,true_ent_reduction,eff_samples
debug05QEW:debugKYVRn,1,deals,raise,TIME,0,4.111000000000001,9.538495049095683,4.292959344023906,12972,182,5.1705335634445255,4.062405288297937,5.511635670917798,1.5417670991214927,0.9881,0.9882,0.988,5.245535705071777,87
debug05QEW:debugKYVRn,2,deals,thump,TIME,0,2.407,4.292959344023906,3.062506353471769,182,76,2.5137862246213754,1.7676354323034138,3.541723575644319,0.0,0.8781,0.8782,0.878,1.2304529905521369,7
debug05QEW:debugKYVRn,3,deals,flock,TIME,0,2.404,3.062506353471769,1.183659256690254,76,18,1.7321072552267256,1.385978557233847,2.9327800824503463,0.0,0.6635,0.6636,0.6634,1.8788470967815152,2
debug05QEW:debugKYVRn,4,deals,sales,TIME,0,5.209,1.183659256690254,0.8836307896379937,18,12,0.33444473024278865,0.29484199354827556,1.1713183359952035,0.0,0.7029,0.7034,0.7024,0.3000284670522603,2
debug05QEW:debugKYVRn,5,deals,pleas,TIME,0,9.84,0.8836307896379937,0.8773366850889305,12,9,0.006397548348876273,0.1825925735986417,0.8809181965689132,0.0,0.42911417716456707,0.44471105778844233,0.41351729654069186,0.006294104549063206,2
debug05QEW:debugKYVRn,6,deals,nails,TIME,0,7.172999999999999,0.8773366850889305,0.033204755172159144,9,6,0.8525537555412616,0.1781090621867138,0.8757496382327761,0.0,0.8956,0.9,0.8912,0.8441319299167713,24
debug05QEW:debugKYVRn,7,deals,alarm,TIME,0,18.142,0.033204755172159144,0.033204755172159144,6,6,0.0,0.008333255369424435,0.0325440006465342,0.0,0.2631,0.5262,0.0,0.0,2
debug05QEW:debugKYVRn,8,deals,seals,TIME,0,7.2989999999999995,0.033204755172159144,0.033204755172159144,6,6,0.0,0.008384862311044213,0.0325440006465342,0.0,0.2643,0.5286,0.0,0.0,2
debug05QEW:debugKYVRn,9,deals,meals,TIME,0,2.079,0.033204755172159144,0.033204755172159144,6,6,0.0,0.008280139190096401,0.0325440006465342,0.0,0.2666,0.5332,0.0,0.0,2
debug05QEW:debugKYVRn,10,deals,deals,TIME,0,4.127,0.033204755172159144,0.0,6,1,0.029999821652236094,0.008454438129640125,0.0325440006465342,0.0,0.8843000000000001,0.9484,0.8202,0.033204755172159144,16
debug05QEW:debugKYVRn,1,shaft,raise,TIME,1,2.2430000000000003,9.538495049095683,4.46603825609246,12972,461,5.347865375746128,4.083791829379139,5.553515863637688,1.5350005592688278,0.9957,0.9958,0.9956,5.072456793003223,265
debug05QEW:debugKYVRn,2,shaft,thump,TIME,1,2.915,4.46603825609246,1.886027824453759,461,9,2.7618271107896923,1.903335695562063,3.432988382340576,0.0,0.9105,0.9106,0.9104,2.5800104316387014,15
debug05QEW:debugKYVRn,3,shaft,flock,TIME,1,2.677,1.886027824453759,0.0,9,1,1.838139358203878,0.7855106005364715,1.8720395122443572,0.0,0.9974,0.9976,0.9972,1.886027824453759,13
debug05QEW:debugKYVRn,4,shaft,shaft,TIME,1,8.177,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1
debug05QEW:debugKYVRn,1,hairy,raise,TIME,2,1.936,9.538495049095683,1.794143190094204,12972,13,5.158541897437711,4.0777225758412845,5.628142731569408,1.3213888058733771,0.9807,0.9808,0.9806,7.74435185900148,75
debug05QEW:debugKYVRn,2,hairy,thump,TIME,2,1.71,1.794143190094204,0.0,13,1,1.028264080735564,0.49250728994163223,1.77506454069779,0.0,0.8349330133973205,0.8366326734653069,0.8332333533293341,1.794143190094204,5
debug05QEW:debugKYVRn,3,hairy,flock,TIME,2,2.6519999999999997,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1
debug05QEW:debugKYVRn,4,hairy,windy,TIME,2,2.459,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1
debug05QEW:debugKYVRn,5,hairy,hairy,TIME,2,4.772,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1
debug05QEW:debugKYVRn,1,draft,raise,TIME,3,1.649,9.538495049095683,4.973246144307675,12972,297,5.143897551574398,4.103347576825654,5.496645589925442,1.5123189438476712,0.9805,0.9806,0.9804,4.5652489047880085,49
debug05QEW:debugKYVRn,2,draft,thump,TIME,3,3.739,4.973246144307675,2.319530968080268,297,27,2.4338638295086197,2.0471098699404124,3.8436826929999914,0.0,0.6880999999999999,0.6882,0.688,2.653715176227407,2
debug05QEW:debugKYVRn,3,draft,flock,TIME,3,2.1390000000000002,2.319530968080268,0.25613056831180553,27,2,2.1743145440116045,1.0478230987020092,2.19717389875546,0.0,0.9994999999999999,0.9996,0.9994,2.0634003997684625,54
debug05QEW:debugKYVRn,4,draft,windy,TIME,3,2.377,0.25613056831180553,0.0,2,1,0.25613056831180553,0.07069203685405831,0.25613056831180553,0.0,0.862,1.0,0.724,0.25613056831180553,21
debug05QEW:debugKYVRn,5,draft,draft,TIME,3,3.4330000000000003,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,1
debug05QEW:debugKYVRn,1,adapt,raise,TIME,4,1.52,9.538495049095683,3.830864708120737,12972,482,5.204870114130159,4.044703399195108,5.597967554926557,1.400235361902021,0.9931,0.9932,0.993,5.707630340974946,106
